Ingredient	Strength
FLUTICASONE PROPIONATE	0.22MG/INH
FLUTICASONE PROPIONATE	0.044MG/INH
FLUTICASONE PROPIONATE	0.11MG/INH
FLUTICASONE PROPIONATE	0.22MG/INH
CROMOLYN SODIUM	0.8MG/INH
ISOETHARINE MESYLATE	0.34MG/INH
ISOPROTERENOL HYDROCHLORIDE	0.12MG/INH
ISOPROTERENOL HYDROCHLORIDE	0.12MG/INH
ISOPROTERENOL HYDROCHLORIDE	0.103MG/INH
PIRBUTEROL ACETATE	EQ 0.2MG BASE/INH
PIRBUTEROL ACETATE	EQ 0.2MG BASE/INH
ERGOTAMINE TARTRATE	0.36MG/INH
EPINEPHRINE BITARTRATE	0.3MG/INH
ISOPROTERENOL SULFATE	0.08MG/INH
EPINEPHRINE	0.2MG/INH
ALBUTEROL SULFATE	EQ 0.09MG BASE/INH
ALBUTEROL	0.09MG/INH
ALBUTEROL SULFATE	EQ 0.09MG BASE/INH
BECLOMETHASONE DIPROPIONATE	0.04MG/INH
BECLOMETHASONE DIPROPIONATE	0.08MG/INH
SALMETEROL XINAFOATE	EQ 0.021MG BASE/INH
BUDESONIDE; FORMOTEROL FUMARATE DIHYDRATE	0.08MG/INH;0.0045MG/INH
BUDESONIDE; FORMOTEROL FUMARATE DIHYDRATE	0.16MG/INH;0.0045MG/INH
NEDOCROMIL SODIUM	1.75MG/INH
BITOLTEROL MESYLATE	0.37MG/INH
BECLOMETHASONE DIPROPIONATE	0.042MG/INH
BECLOMETHASONE DIPROPIONATE	0.084MG/INH
ALBUTEROL	0.09MG/INH
ALBUTEROL SULFATE	EQ 0.09MG BASE/INH
LEVALBUTEROL TARTRATE	EQ 0.045MG BASE/INH
TALC	400MG/SPRAY
BECLOMETHASONE DIPROPIONATE	0.042MG/INH
TRIAMCINOLONE ACETONIDE	0.055MG/INH
BECLOMETHASONE DIPROPIONATE	0.04MG/ACTUATION
BECLOMETHASONE DIPROPIONATE	0.08MG/ACTUATION
BUDESONIDE	0.032MG/INH
BECLOMETHASONE DIPROPIONATE	0.042MG/INH
CICLESONIDE	0.037MG/INH
HYDROCORTISONE ACETATE	10%
NITROGLYCERIN	0.4MG/SPRAY
HYDROCORTISONE ACETATE; PRAMOXINE HYDROCHLORIDE	1%;1%
CHLORHEXIDINE GLUCONATE	4%
HYDROCORTISONE ACETATE; PRAMOXINE HYDROCHLORIDE	1%;1%
HYDROCORTISONE ACETATE; PRAMOXINE HYDROCHLORIDE	1%;1%
DEXAMETHASONE SODIUM PHOSPHATE	EQ 0.1MG PHOSPHATE/INH
LIDOCAINE	10%
NITROGLYCERIN	0.4MG/SPRAY
DEXAMETHASONE	0.01% 
HYDROCORTISONE	0.5%
DEXAMETHASONE	0.04% 
BACITRACIN ZINC; POLYMYXIN B SULFATE	10000 UNITS/GM;2000000 UNITS/GM
PIPERONYL BUTOXIDE; PYRETHRINS	4%;EQ 0.33% BASE
HEXACHLOROPHENE	0.23%
HEXACHLOROPHENE	3%
NONOXYNOL-9	12.5%
CHOLESTYRAMINE	EQ 4GM RESIN/BAR
CHOLESTYRAMINE	EQ 4GM RESIN/BAR
AMOXICILLIN; CLARITHROMYCIN; LANSOPRAZOLE	500MG,N/A,N/A;N/A,500MG,N/A;N/A,N/A,30MG
AMOXICILLIN; CLARITHROMYCIN; LANSOPRAZOLE	500MG,N/A,N/A;N/A,500MG,N/A;N/A,N/A,30MG
AMOXICILLIN; CLARITHROMYCIN; LANSOPRAZOLE	500MG,N/A,N/A;N/A,500MG,N/A;N/A,N/A,30MG
AMOXICILLIN; CLARITHROMYCIN; LANSOPRAZOLE	500MG,N/A,N/A;N/A,500MG,N/A;N/A,N/A,30MG
DOXYCYCLINE HYCLATE	EQ 100MG BASE
LANSOPRAZOLE; NAPROXEN	15MG,N/A;N/A,250MG 
LANSOPRAZOLE; NAPROXEN	15MG,N/A;N/A,375MG
LANSOPRAZOLE; NAPROXEN	15MG,N/A;N/A,500MG
DULOXETINE HYDROCHLORIDE	EQ 20MG BASE
DULOXETINE HYDROCHLORIDE	EQ 30MG BASE
DULOXETINE HYDROCHLORIDE	EQ 60MG BASE
DIVALPROEX SODIUM	EQ 125MG VALPROIC ACID
DIDANOSINE	125MG
DIDANOSINE	200MG
DIDANOSINE	250MG
DIDANOSINE	400MG
DIDANOSINE	200MG
DIDANOSINE	250MG
DIDANOSINE	400MG
DIDANOSINE	125MG
DIDANOSINE	200MG
DIDANOSINE	250MG
DIDANOSINE	400MG
DIVALPROEX SODIUM	EQ 125MG VALPROIC ACID
DIVALPROEX SODIUM	EQ 125MG VALPROIC ACID
DIVALPROEX SODIUM	EQ 125MG VALPROIC ACID
DULOXETINE HYDROCHLORIDE	EQ 20MG BASE
DULOXETINE HYDROCHLORIDE	EQ 30MG BASE
DULOXETINE HYDROCHLORIDE	EQ 60MG BASE
DULOXETINE HYDROCHLORIDE	EQ 20MG BASE
DULOXETINE HYDROCHLORIDE	EQ 30MG BASE
DULOXETINE HYDROCHLORIDE	EQ 60MG BASE
DULOXETINE HYDROCHLORIDE	EQ 20MG BASE
DULOXETINE HYDROCHLORIDE	EQ 30MG BASE
DULOXETINE HYDROCHLORIDE	EQ 60MG BASE
DULOXETINE HYDROCHLORIDE	EQ 20MG BASE
DULOXETINE HYDROCHLORIDE	EQ 30MG BASE
DULOXETINE HYDROCHLORIDE	EQ 60MG BASE
DULOXETINE HYDROCHLORIDE	EQ 20MG BASE
DULOXETINE HYDROCHLORIDE	EQ 30MG BASE
DULOXETINE HYDROCHLORIDE	EQ 60MG BASE
DULOXETINE HYDROCHLORIDE	EQ 20MG BASE
DULOXETINE HYDROCHLORIDE	EQ 30MG BASE
DULOXETINE HYDROCHLORIDE	EQ 60MG BASE
DULOXETINE HYDROCHLORIDE	EQ 20MG BASE
DULOXETINE HYDROCHLORIDE	EQ 30MG BASE
DULOXETINE HYDROCHLORIDE	EQ 60MG BASE
DULOXETINE HYDROCHLORIDE	EQ 20MG BASE
DULOXETINE HYDROCHLORIDE	EQ 30MG BASE
DULOXETINE HYDROCHLORIDE	EQ 60MG BASE
DULOXETINE HYDROCHLORIDE	EQ 20MG BASE
DULOXETINE HYDROCHLORIDE	EQ 30MG BASE
DULOXETINE HYDROCHLORIDE	EQ 60MG BASE
DULOXETINE HYDROCHLORIDE	EQ 20MG BASE
DULOXETINE HYDROCHLORIDE	EQ 30MG BASE
DULOXETINE HYDROCHLORIDE	EQ 60MG BASE
DULOXETINE HYDROCHLORIDE	EQ 20MG BASE
DULOXETINE HYDROCHLORIDE	EQ 30MG BASE
DULOXETINE HYDROCHLORIDE	EQ 60MG BASE
DULOXETINE HYDROCHLORIDE	EQ 20MG BASE
DULOXETINE HYDROCHLORIDE	EQ 30MG BASE
DULOXETINE HYDROCHLORIDE	EQ 40MG BASE
DULOXETINE HYDROCHLORIDE	EQ 60MG BASE
DULOXETINE HYDROCHLORIDE	EQ 20MG BASE
DULOXETINE HYDROCHLORIDE	EQ 30MG BASE
DULOXETINE HYDROCHLORIDE	EQ 60MG BASE
DULOXETINE HYDROCHLORIDE	EQ 20MG BASE
DULOXETINE HYDROCHLORIDE	EQ 30MG BASE
DULOXETINE HYDROCHLORIDE	EQ 60MG BASE
DULOXETINE HYDROCHLORIDE	EQ 20MG BASE
DULOXETINE HYDROCHLORIDE	EQ 30MG BASE
DULOXETINE HYDROCHLORIDE	EQ 60MG BASE
DULOXETINE HYDROCHLORIDE	EQ 20MG BASE
DULOXETINE HYDROCHLORIDE	EQ 30MG BASE
DULOXETINE HYDROCHLORIDE	EQ 60MG BASE
DULOXETINE HYDROCHLORIDE	EQ 20MG BASE
DULOXETINE HYDROCHLORIDE	EQ 30MG BASE
DULOXETINE HYDROCHLORIDE	EQ 60MG BASE
DULOXETINE HYDROCHLORIDE	EQ 20MG BASE
DULOXETINE HYDROCHLORIDE	EQ 30MG BASE
DULOXETINE HYDROCHLORIDE	EQ 60MG BASE
DULOXETINE HYDROCHLORIDE	EQ 20MG BASE
DULOXETINE HYDROCHLORIDE	EQ 30MG BASE
DULOXETINE HYDROCHLORIDE	EQ 60MG BASE
ERYTHROMYCIN	250MG
ERYTHROMYCIN	250MG
ERYTHROMYCIN	250MG
ERYTHROMYCIN	250MG
ERYTHROMYCIN	125MG
ERYTHROMYCIN	125MG
ERYTHROMYCIN	250MG
ERYTHROMYCIN	250MG
ESOMEPRAZOLE MAGNESIUM	EQ 20MG BASE
ESOMEPRAZOLE MAGNESIUM	EQ 40MG BASE
ESOMEPRAZOLE MAGNESIUM	EQ 20MG BASE
ESOMEPRAZOLE MAGNESIUM	EQ 40MG BASE
ESOMEPRAZOLE MAGNESIUM	EQ 20MG BASE
ESOMEPRAZOLE MAGNESIUM	EQ 40MG BASE
ESOMEPRAZOLE MAGNESIUM	EQ 20MG BASE
ESOMEPRAZOLE MAGNESIUM	EQ 40MG BASE
ESOMEPRAZOLE MAGNESIUM	EQ 20MG BASE
ESOMEPRAZOLE MAGNESIUM	EQ 40MG BASE
ESOMEPRAZOLE MAGNESIUM	EQ 20MG BASE
ESOMEPRAZOLE MAGNESIUM	EQ 40MG BASE
FLUOXETINE HYDROCHLORIDE	EQ 90MG BASE
FLUOXETINE HYDROCHLORIDE	EQ 90MG BASE
LANSOPRAZOLE	15MG
LANSOPRAZOLE	30MG
LANSOPRAZOLE	15MG
LANSOPRAZOLE	15MG
LANSOPRAZOLE	30MG
LANSOPRAZOLE	15MG
LANSOPRAZOLE	30MG
LANSOPRAZOLE	15MG
LANSOPRAZOLE	15MG
LANSOPRAZOLE	30MG
LANSOPRAZOLE	15MG
LANSOPRAZOLE	15MG
LANSOPRAZOLE	30MG
LANSOPRAZOLE	15MG
LANSOPRAZOLE	15MG
LANSOPRAZOLE	30MG
LANSOPRAZOLE	15MG
LANSOPRAZOLE	30MG
LANSOPRAZOLE	15MG
LANSOPRAZOLE	30MG
LANSOPRAZOLE	15MG
LANSOPRAZOLE	15MG
LANSOPRAZOLE	30MG
LANSOPRAZOLE	15MG
LANSOPRAZOLE	30MG
LANSOPRAZOLE	15MG
LANSOPRAZOLE	30MG
ESOMEPRAZOLE MAGNESIUM	EQ 20MG BASE
ESOMEPRAZOLE MAGNESIUM	EQ 40MG BASE
OMEPRAZOLE	10MG
OMEPRAZOLE	20MG
OMEPRAZOLE	40MG
OMEPRAZOLE	10MG
OMEPRAZOLE	20MG
OMEPRAZOLE	40MG
OMEPRAZOLE	10MG
OMEPRAZOLE	20MG
OMEPRAZOLE	40MG
OMEPRAZOLE	10MG
OMEPRAZOLE	10MG
OMEPRAZOLE	20MG
OMEPRAZOLE	20MG
OMEPRAZOLE	40MG
OMEPRAZOLE	40MG
OMEPRAZOLE	10MG
OMEPRAZOLE	20MG
OMEPRAZOLE	40MG
OMEPRAZOLE	10MG
OMEPRAZOLE	20MG
OMEPRAZOLE	40MG
OMEPRAZOLE	10MG
OMEPRAZOLE	20MG
OMEPRAZOLE	40MG
OMEPRAZOLE	40MG
OMEPRAZOLE	10MG
OMEPRAZOLE	20MG
OMEPRAZOLE	40MG
OMEPRAZOLE	10MG
OMEPRAZOLE	20MG
OMEPRAZOLE	40MG
OMEPRAZOLE	20MG
OMEPRAZOLE	40MG
OMEPRAZOLE	10MG
OMEPRAZOLE	20MG
OMEPRAZOLE	40MG
LANSOPRAZOLE	15MG
LANSOPRAZOLE	30MG
LANSOPRAZOLE	15MG
OMEPRAZOLE	10MG 
OMEPRAZOLE	20MG 
OMEPRAZOLE	40MG 
FLUOXETINE HYDROCHLORIDE	EQ 90MG BASE
DIDANOSINE	125MG
DIDANOSINE	200MG
DIDANOSINE	250MG
DIDANOSINE	400MG
RABEPRAZOLE SODIUM	5MG
RABEPRAZOLE SODIUM	10MG
PANCRELIPASE 	60000USP UNITS;12000USP UNITS;38000USP UNITS
PANCRELIPASE 	15000USP UNITS;3000USP UNITS;9,500USP UNITS
PANCRELIPASE 	30000USP UNITS;6000USP UNITS;19000USP UNITS
PANCRELIPASE 	180000USP UNITS;36000USP UNITS;114000USP UNITS
PANCRELIPASE 	120000USP UNITS;24000USP UNITS;76000USP UNITS
MESALAMINE	400MG
DEXLANSOPRAZOLE	30MG
DEXLANSOPRAZOLE	60MG
DEXLANSOPRAZOLE	60MG
DOXYCYCLINE HYCLATE	EQ 75MG BASE
DOXYCYCLINE HYCLATE	EQ 100MG BASE
DOXYCYCLINE HYCLATE	EQ 100MG BASE
DOXYCYCLINE HYCLATE	EQ 75MG BASE
DOXYCYCLINE HYCLATE	EQ 100MG BASE
ESOMEPRAZOLE STRONTIUM	24.65MG
ESOMEPRAZOLE STRONTIUM	49.3MG
CHOLINE FENOFIBRATE	EQ 45MG FENOFIBRIC ACID
CHOLINE FENOFIBRATE	EQ 135MG FENOFIBRIC ACID
CHOLINE FENOFIBRATE	EQ 45MG FENOFIBRIC ACID
CHOLINE FENOFIBRATE	EQ 135MG FENOFIBRIC ACID
CHOLINE FENOFIBRATE	EQ 45MG FENOFIBRIC ACID
CHOLINE FENOFIBRATE	EQ 135MG FENOFIBRIC ACID
CHOLINE FENOFIBRATE	EQ 45MG FENOFIBRIC ACID
CHOLINE FENOFIBRATE	EQ 135MG FENOFIBRIC ACID
CHOLINE FENOFIBRATE	EQ 45MG FENOFIBRIC ACID
CHOLINE FENOFIBRATE	EQ 135MG FENOFIBRIC ACID
CHOLINE FENOFIBRATE	EQ 45MG FENOFIBRIC ACID
CHOLINE FENOFIBRATE	EQ 135MG FENOFIBRIC ACID
ESOMEPRAZOLE MAGNESIUM	EQ 20MG BASE
OMEPRAZOLE MAGNESIUM	EQ 20MG BASE
PANCRELIPASE 	10,850USP UNITS;2,600USP UNITS;6,200USP UNITS
PANCRELIPASE 	17,500USP/ UNITS;4,200USP/ UNITS;10000USP/ UNITS
PANCRELIPASE 	43,750USP/ UNITS;10,500USP/ UNITS;25000USP/ UNITS
PANCRELIPASE 	61000USP/ UNITS;21000USP/ UNITS;37000USP/ UNITS
PANCRELIPASE 	70000USP/ UNITS;16,800USP/ UNITS;40000USP/ UNITS
PANCRELIPASE 	30,250USP UNITS;8000USP UNITS;28,750USP UNITS
PANCRELIPASE 	60,500USP UNITS;16000USP UNITS;57,500USP UNITS
PANCRELIPASE 	15,125USP UNITS;4000USP UNITS;14,375USP UNITS
CYSTEAMINE BITARTRATE	EQ 25MG BASE
CYSTEAMINE BITARTRATE	EQ 75MG BASE
VALPROIC ACID	125MG 
VALPROIC ACID	250MG 
VALPROIC ACID	500MG 
DIMETHYL FUMARATE	120MG
DIMETHYL FUMARATE	240MG
CHOLINE FENOFIBRATE	EQ 45MG FENOFIBRIC ACID
CHOLINE FENOFIBRATE	EQ 135MG FENOFIBRIC ACID
PANCRELIPASE 	27,600USP UNITS;13,800USP UNITS;27,600USP UNITS
PANCRELIPASE 	41,400USP UNITS;20,700USP UNITS;41,400USP UNITS
PANCRELIPASE 	46000USP UNITS;23000USP UNITS;46000USP UNITS
PANCRELIPASE 	218000USP UNITS; 4000USP UNITS; 136000 USP UNITS
PANCRELIPASE 	16000USP UNITS;3000USP UNITS;10000USP UNITS
PANCRELIPASE 	55000USP UNITS;10000USP UNITS;34000USP UNITS
PANCRELIPASE 	82000USP UNITS;15000USP UNITS;51000USP UNITS
PANCRELIPASE 	27000USP UNITS;5000USP UNITS;17000USP UNITS
PANCRELIPASE 	109000USP UNITS;20000USP UNITS;68000USP UNITS
PANCRELIPASE 	136000USP UNITS;25000USP UNITS;85000USP UNITS
ACETAZOLAMIDE	500MG
ACETAZOLAMIDE	500MG
ACETAZOLAMIDE	500MG
ACETAZOLAMIDE	500MG
PSEUDOEPHEDRINE HYDROCHLORIDE; TRIPROLIDINE HYDROCHLORIDE	120MG;5MG
AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE	2.5MG;2.5MG;2.5MG;2.5MG
AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE	3.75MG;3.75MG;3.75MG;3.75MG
AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE	5MG;5MG;5MG;5MG
AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE	6.25MG;6.25MG;6.25MG;6.25MG
AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE	7.5MG;7.5MG;7.5MG;7.5MG
AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE	1.25MG;1.25MG;1.25MG;1.25MG
THEOPHYLLINE	65MG
THEOPHYLLINE	130MG
THEOPHYLLINE	260MG
ASPIRIN; DIPYRIDAMOLE	25MG;200MG
CYCLOBENZAPRINE HYDROCHLORIDE	15MG
CYCLOBENZAPRINE HYDROCHLORIDE	30MG
MESALAMINE	375MG
METHYLPHENIDATE HYDROCHLORIDE	10MG
METHYLPHENIDATE HYDROCHLORIDE	15MG
METHYLPHENIDATE HYDROCHLORIDE	20MG
METHYLPHENIDATE HYDROCHLORIDE	30MG
METHYLPHENIDATE HYDROCHLORIDE	40MG
METHYLPHENIDATE HYDROCHLORIDE	50MG
METHYLPHENIDATE HYDROCHLORIDE	60MG
TRIHEXYPHENIDYL HYDROCHLORIDE	5MG
TRIHEXYPHENIDYL HYDROCHLORIDE	5MG
ASPIRIN; DIPYRIDAMOLE	25MG;200MG
ASPIRIN; DIPYRIDAMOLE	25MG;200MG
ASPIRIN; DIPYRIDAMOLE	25MG;200MG
ASPIRIN; DIPYRIDAMOLE	25MG;200MG
ASPIRIN; DIPYRIDAMOLE	25MG;200MG
TACROLIMUS	EQ 0.5MG BASE
TACROLIMUS	EQ 1MG BASE
TACROLIMUS	EQ 5MG BASE
MORPHINE SULFATE	30MG
MORPHINE SULFATE	45MG
MORPHINE SULFATE	60MG
MORPHINE SULFATE	75MG
MORPHINE SULFATE	90MG
MORPHINE SULFATE	120MG
AMPHETAMINE RESIN COMPLEX; DEXTROAMPHETAMINE RESIN COMPLEX	EQ 6.25MG BASE;EQ 6.25MG BASE
AMPHETAMINE RESIN COMPLEX; DEXTROAMPHETAMINE RESIN COMPLEX	EQ 10MG BASE;EQ 10MG BASE
AMPHETAMINE RESIN COMPLEX; DEXTROAMPHETAMINE RESIN COMPLEX	EQ 3.75MG BASE;EQ 3.75MG BASE
PHENDIMETRAZINE TARTRATE	105MG
CARBAMAZEPINE	100MG
CARBAMAZEPINE	200MG
CARBAMAZEPINE	300MG
CARBAMAZEPINE	100MG
CARBAMAZEPINE	200MG
CARBAMAZEPINE	300MG
CARBAMAZEPINE	100MG
CARBAMAZEPINE	200MG
CARBAMAZEPINE	300MG
CARBAMAZEPINE	100MG
CARBAMAZEPINE	200MG
CARBAMAZEPINE	300MG
CARBAMAZEPINE	100MG
CARBAMAZEPINE	200MG
CARBAMAZEPINE	300MG
NICARDIPINE HYDROCHLORIDE	30MG
NICARDIPINE HYDROCHLORIDE	45MG
NICARDIPINE HYDROCHLORIDE	60MG
DILTIAZEM HYDROCHLORIDE	120MG
DILTIAZEM HYDROCHLORIDE	180MG
DILTIAZEM HYDROCHLORIDE	240MG
DILTIAZEM HYDROCHLORIDE	300MG
DILTIAZEM HYDROCHLORIDE	360MG
DILTIAZEM HYDROCHLORIDE	60MG 
DILTIAZEM HYDROCHLORIDE	90MG 
DILTIAZEM HYDROCHLORIDE	120MG 
DILTIAZEM HYDROCHLORIDE	180MG 
DILTIAZEM HYDROCHLORIDE	120MG
DILTIAZEM HYDROCHLORIDE	180MG
DILTIAZEM HYDROCHLORIDE	240MG
DILTIAZEM HYDROCHLORIDE	300MG
CHLORPHENIRAMINE MALEATE	12MG
CHLORPHENIRAMINE MALEATE; PSEUDOEPHEDRINE HYDROCHLORIDE	12MG;120MG
CHLORPHENIRAMINE MALEATE; PHENYLPROPANOLAMINE HYDROCHLORIDE	12MG;75MG
CHLORPHENIRAMINE MALEATE; PHENYLPROPANOLAMINE HYDROCHLORIDE	8MG;75MG
PROCHLORPERAZINE MALEATE	EQ 10MG BASE
PROCHLORPERAZINE MALEATE	EQ 10MG BASE
PROCHLORPERAZINE MALEATE	EQ 15MG BASE
PROCHLORPERAZINE MALEATE	EQ 15MG BASE
PROCHLORPERAZINE MALEATE	EQ 30MG BASE
PROCHLORPERAZINE MALEATE	EQ 75MG BASE
TRAMADOL HYDROCHLORIDE	100MG
TRAMADOL HYDROCHLORIDE	150MG
TRAMADOL HYDROCHLORIDE	200MG
TRAMADOL HYDROCHLORIDE	300MG
CARVEDILOL PHOSPHATE	10MG
CARVEDILOL PHOSPHATE	20MG
CARVEDILOL PHOSPHATE	40MG
CARVEDILOL PHOSPHATE	80MG
CYCLOBENZAPRINE HYDROCHLORIDE	15MG
CYCLOBENZAPRINE HYDROCHLORIDE	30MG
TOLTERODINE TARTRATE	2MG
TOLTERODINE TARTRATE	4MG
DEXTROAMPHETAMINE SULFATE	5MG
DEXTROAMPHETAMINE SULFATE	10MG
DEXTROAMPHETAMINE SULFATE	15MG
DEXMETHYLPHENIDATE HYDROCHLORIDE	5MG
DEXMETHYLPHENIDATE HYDROCHLORIDE	10MG
DEXMETHYLPHENIDATE HYDROCHLORIDE	15MG
DEXMETHYLPHENIDATE HYDROCHLORIDE	20MG
DEXMETHYLPHENIDATE HYDROCHLORIDE	30MG
DEXMETHYLPHENIDATE HYDROCHLORIDE	15MG
DEXMETHYLPHENIDATE HYDROCHLORIDE	30MG
DEXMETHYLPHENIDATE HYDROCHLORIDE	5MG
DEXMETHYLPHENIDATE HYDROCHLORIDE	10MG
DEXMETHYLPHENIDATE HYDROCHLORIDE	15MG
DEXMETHYLPHENIDATE HYDROCHLORIDE	20MG
DEXMETHYLPHENIDATE HYDROCHLORIDE	30MG
DEXMETHYLPHENIDATE HYDROCHLORIDE	40MG
DEXMETHYLPHENIDATE HYDROCHLORIDE	5MG
DEXMETHYLPHENIDATE HYDROCHLORIDE	10MG
DEXMETHYLPHENIDATE HYDROCHLORIDE	15MG
DEXMETHYLPHENIDATE HYDROCHLORIDE	20MG
DEXMETHYLPHENIDATE HYDROCHLORIDE	25MG
DEXMETHYLPHENIDATE HYDROCHLORIDE	30MG
DEXMETHYLPHENIDATE HYDROCHLORIDE	35MG
DEXMETHYLPHENIDATE HYDROCHLORIDE	40MG
DEXMETHYLPHENIDATE HYDROCHLORIDE	5MG
DEXMETHYLPHENIDATE HYDROCHLORIDE	10MG
DEXMETHYLPHENIDATE HYDROCHLORIDE	15MG
DEXMETHYLPHENIDATE HYDROCHLORIDE	20MG
DEXMETHYLPHENIDATE HYDROCHLORIDE	30MG
DEXMETHYLPHENIDATE HYDROCHLORIDE	40MG
AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE	1.25MG;1.25MG;1.25MG;1.25MG
AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE	2.5MG;2.5MG;2.5MG;2.5MG
AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE	3.75MG;3.75MG;3.75MG;3.75MG
AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE	5MG;5MG;5MG;5MG
AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE	6.25MG;6.25MG;6.25MG;6.25MG
AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE	7.5MG;7.5MG;7.5MG;7.5MG
AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE	1.25MG;1.25MG;1.25MG;1.25MG
AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE	2.5MG;2.5MG;2.5MG;2.5MG
AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE	3.75MG;3.75MG;3.75MG;3.75MG
